Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;
;2;3;4;2;3;4;2;3;4;2;3;4
Последоватьное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;46,7868;45,2228;43,4892;1;1;1;0,5;0,333333333;0,25;93,5736;135,6684;173,9568
Последоватьное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;45,6202;43,6129;41,9589;1,025572005;1,03691339;1,036471404;0,512786003;0,345637797;0,259117851;91,2404;130,8387;167,8356
Последоватьное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;94,0323;135,6728;169,5847;0,497560944;0,333322523;0,256445304;0,248780472;0,111107508;0,064111326;188,0646;407,0184;678,3388
Последоватьное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;44,0076;46,0105;43,4164;1,063152728;0,982879995;1,001676786;0,531576364;0,327626665;0,250419196;88,0152;138,0315;173,6656
Последоватьное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;42,6335;44,7451;40,9727;1,097418697;1,010676029;1,061418945;0,548709348;0,33689201;0,265354736;85,267;134,2353;163,8908
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;90,2764;137,2188;167,9569;0,518261694;0,329567086;0,258930714;0,259130847;0,109855695;0,064732678;180,5528;411,6564;671,8276
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;44,9311;44,8744;45,193;1,041301014;1,007763892;0,962299471;0,520650507;0,335921297;0,240574868;89,8622;134,6232;180,772
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;43,5386;46,0532;43,5343;1,074605063;0,98196868;0,998964035;0,537302532;0,327322893;0,249741009;87,0772;138,1596;174,1372
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;93,4805;135,4435;169,2174;0,500497965;0,333886824;0,25700194;0,250248982;0,111295608;0,064250485;186,961;406,3305;676,8696
Параллельное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;26,3817;20,8079;23,4792;1,773456601;2,173347623;1,852243688;0,8867283;0,724449208;0,463060922;52,7634;62,4237;93,9168
Параллельное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;24,9222;18,7423;20,8638;1,877314202;2,412873553;2,084433325;0,938657101;0,804291184;0,521108331;49,8444;56,2269;83,4552
Параллельное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;73,7375;112,7227;149,316;0,634504831;0,401186274;0,291256128;0,317252416;0,133728758;0,072814032;147,475;338,1681;597,264
Параллельное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;27,8489;20,2839;26,139;1,680023268;2,229492356;1,663766785;0,840011634;0,743164119;0,415941696;55,6978;60,8517;104,556
Параллельное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;26,3298;18,4623;21,533;1,776952351;2,449467293;2,019653555;0,888476175;0,816489098;0,504913389;52,6596;55,3869;86,132
Параллельное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;105,7984;109,5838;225,3345;0,442225969;0,412677786;0,192998409;0,221112985;0,137559262;0,048249602;211,5968;328,7514;901,338
Параллельное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;29,5835;21,7335;22,9675;1,581516724;2,080787724;1,893510395;0,790758362;0,693595908;0,473377599;59,167;65,2005;91,87
Параллельное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;27,242;20,3578;21,7954;1,717450995;2,221399169;1,995338466;0,858725497;0,74046639;0,498834616;54,484;61,0734;87,1816
Параллельное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;76,9128;111,9301;150,8617;0,60830967;0,404027156;0,288271974;0,304154835;0,134675719;0,072067993;153,8256;335,7903;603,4468
