
НД: 200000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;9.0085п2;9.0749п3;9.0228п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;8.7544п2;8.7173п3;8.6096п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;18.6565п2;26.8022п3;32.4951п4;
Последоватьное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;8.7727п2;8.7507п3;8.5008п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;8.4910п2;8.3641п3;8.2214п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;18.7017п2;26.1195п3;32.3462п4;
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;9.0304п2;9.1321п3;8.9311п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;8.7392п2;8.7443п3;8.4965п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;17.9399п2;26.4787п3;32.0077п4;
Параллельное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;5.0243п2;3.8364п3;3.2735п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;4.7728п2;3.4555п3;2.8437п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;14.9239п2;21.2430п3;26.8748п4;
Параллельное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;4.7738п2;3.4436п3;2.8648п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;4.4814п2;3.0517п3;2.5497п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;14.9497п2;20.7691п3;26.3766п4;
Параллельное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;5.0445п2;3.8278п3;3.2583п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;4.7502п2;3.4368п3;2.8224п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;14.9174п2;21.2894п3;26.7681п4;

НД: 750000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;32.8394п2;33.2143п3;33.0249п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;31.8001п2;31.7965п3;31.4891п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;71.4901п2;98.5953п3;122.6930п4;
Последоватьное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;31.9601п2;32.0274п3;31.8002п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;30.8180п2;30.4955п3;30.0844п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;71.1817п2;96.4856п3;121.8772п4;
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;32.8681п2;33.2471п3;33.0874п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;31.8595п2;31.7295п3;31.4061п4;
