функция;Кол-во потоков;НД 75000;НД2 100000;НД3 125000;НД4 150000
Последоватьное заполнение;0;^ 2.6922;^ 3.5236;^ 4.3449;^ 5.0510
Последоватьное суммирование;0;^ 0.6125;^ 0.6029;^ 0.6528;^ 0.5080
Последоватьный подсчет суммы;0;^ 0.1878;^ 0.3159;^ 0.3416;^ 0.3572
Параллельный (с редукторами) подсчет суммы;2;^ 0.1011;^ 0.1477;^ 0.2284;^ 0.2351
;3;^ 0.0728;^ 0.0831;^ 0.1465;^ 0.1654
;4;^ 0.0757;^ 0.0899;^ 0.1046;^ 0.1232
Параллельный (с крит. секциями) подсчет суммы;2;^ 3.3700;^ 5.1456;^ 7.4056;^ 7.9074
;3;^ 7.7499;^ 9.4727;^ 12.4921;^ 15.6326
;4;^ 10.7412;^ 14.2651;^ 17.0016;^ 21.3694
Параллельное суммирование с for;2;^ 0.2017;^ 0.3122;^ 0.3396;^ 0.4110
;3;^ 0.2581;^ 0.1894;^ 0.2450;^ 0.2570
;4;^ 0.1133;^ 0.2449;^ 0.3539;^ 0.3605
Параллельное суммирование с sections;2;^ 0.3786;^ 0.7197;^ 0.6610;^ 0.4880
;3;^ 0.8386;^ 0.5886;^ 0.5956;^ 0.4891
;4;^ 0.3553;^ 0.4811;^ 0.6117;^ 0.5167
Параллельное заполнение;2;^ 1.4968;^ 1.7059;^ 2.1110;^ 2.4691
;3;^ 0.8725;^ 1.8992;^ 1.9471;^ 1.7194
;4;^ 0.7171;^ 1.4219;^ 1.3872;^ 1.9781
