функция;Кол-во потоков;НД1;НД2;НД3;НД4
Последоватьное заполнение;0;0.0146521Ж75000;0.0150635Ж100000;0.0238409Ж125000;0.0289677Ж150000
Последоватьное суммирование;0;0.0009175Ж75000;0.0009822Ж100000;0.0012404Ж125000;0.001382Ж150000
Последоватьный подсчет суммы;0;0.0004517Ж75000;0.000476Ж100000;0.0005971Ж125000;0.0007141Ж150000
Параллельный (с редукторами) подсчет суммы;2;0.0027919Ж75000;0.0044176Ж100000;0.0040452Ж125000;0.0037563Ж150000
;3;0.0040834Ж75000;0.0062507Ж100000;0.0038828Ж125000;0.0043002Ж150000
;4;0.0061587Ж75000;0.00981Ж100000;0.0063728Ж125000;0.0061655Ж150000
Параллельный (с крит. секциями) подсчет суммы;2;0.0005676Ж75000;0.0006509Ж100000;0.0007848Ж125000;0.0007352Ж150000
;3;0.0004483Ж75000;0.0010965Ж100000;0.0012948Ж125000;0.0007236Ж150000
;4;0.0004055Ж75000;0.0007826Ж100000;0.0008323Ж125000;0.0008865Ж150000
Параллельное суммирование с for;2;0.0013297Ж75000;0.0014035Ж100000;0.0016131Ж125000;0.0010777Ж150000
;3;0.000992Ж75000;0.0014955Ж100000;0.0026214Ж125000;0.0010387Ж150000
;4;0.0008612Ж75000;0.0018912Ж100000;0.0021225Ж125000;0.0014771Ж150000
Параллельное суммирование с sections;2;0.0017625Ж75000;0.0016167Ж100000;0.0029131Ж125000;0.0019565Ж150000
;3;0.0016285Ж75000;0.0042796Ж100000;0.0045505Ж125000;0.001699Ж150000
;4;0.0012393Ж75000;0.0032354Ж100000;0.0032263Ж125000;0.0028206Ж150000
Параллельное заполнение;2;0.0140508Ж75000;0.0101192Ж100000;0.0149813Ж125000;0.0132463Ж150000
;3;0.0071182Ж75000;0.0089399Ж100000;0.0079925Ж125000;0.0083008Ж150000
;4;0.0054283Ж75000;0.0056711Ж100000;0.0065751Ж125000;0.009002Ж150000
