функция;Кол-во потоков;НД 750000;НД2 1000000;НД3 1250000;НД4 1500000
Последоватьное заполнение;0;67;93;205;348
Последоватьное суммирование;0;3;4;26;11
Последоватьный подсчет суммы;0;2;2;6;9
Параллельный (с редукторами) подсчет суммы;2;1;2;3;6
;3;1;1;3;3
;4;0;1;1;3
Параллельный (с крит. секциями) подсчет суммы;2;2;2;6;13
;3;3;4;4;9
;4;3;4;4;11
Параллельное суммирование с for;2;3;4;28;11
;3;3;24;9;38
;4;3;10;9;38
Параллельное суммирование с sections;2;3;4;33;23
;3;3;20;31;38
;4;3;10;10;16
Параллельное заполнение;2;36;47;111;308
;3;23;66;89;101
;4;20;51;60;99
