Способ заполнения;Способ суммирования;Способ подсчета итогового вектора;Количество потоков;Время работы
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;2;^ 4.3937
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;2;^ 4.2480
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;2;^ 8.9623
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;2;^ 4.0667
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;2;^ 3.9839
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;2;^ 8.3647
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;2;^ 4.3193
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;2;^ 4.1701
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;2;^ 6.1390
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;2;^ 2.5090
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;2;^ 2.3964
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;2;^ 7.1969
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;2;^ 2.3759
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;2;^ 2.2710
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;2;^ 6.7968
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;2;^ 2.5767
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;2;^ 2.5085
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;2;^ 7.0441
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;3;^ 4.2142
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;3;^ 4.0684
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;3;^ 13.9718
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;3;^ 3.9677
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;3;^ 3.8304
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;3;^ 13.0329
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;3;^ 4.2847
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;3;^ 4.1307
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;3;^ 13.4242
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;3;^ 2.0217
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;3;^ 1.8927
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;3;^ 11.4497
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;3;^ 1.7809
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;3;^ 1.6461
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;3;^ 11.0317
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;3;^ 1.9888
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;3;^ 1.8488
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;3;^ 11.4174
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;4;^ 4.2163
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;4;^ 4.0721
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;4;^ 17.4483
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;4;^ 4.0080
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;4;^ 3.8307
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;4;^ 17.4421
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;4;^ 4.2458
