Способ заполнения;Способ суммирования;Способ подсчета итогового вектора;Количество потоков;Время работы
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;2;1.74182
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;2;1.75683
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;2;1.75293
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;2;1.75246
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;2;1.76627
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;2;1.77002
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;2;1.80081
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;2;1.80251
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;2;1.80391
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;2;0.938077
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;2;0.941292
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;2;0.941059
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;2;0.947856
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;2;0.954329
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;2;0.945065
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;2;0.988511
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;2;1.00914
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;2;1.00749
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;3;1.7252
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;3;1.76755
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;3;1.73612
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;3;1.72702
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;3;1.7485
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;3;1.75177
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;3;1.77295
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;3;1.79058
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;3;1.79629
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;3;0.726172
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;3;0.793856
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;3;0.747583
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;3;0.744797
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;3;0.756552
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;3;0.766098
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;3;0.911603
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;3;0.933878
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;3;0.926583
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;4;2.26335
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;4;2.28622
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;4;2.27263
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;4;2.64948
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;4;2.65583
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;4;2.66068
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;4;3.16014
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;4;3.15053
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;4;3.13759
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;4;0.737657
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;4;0.754372
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;4;0.757166
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;4;0.703175
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;4;0.714403
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;4;0.720751
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;4;0.729526
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;4;0.737884
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;4;0.749903
