Способ заполнения;Способ суммирования;Способ подсчета итогового вектора;Количество потоков;Время работы
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;2;101
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;2;100
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;2;101
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;2;102
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;2;100
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;2;102
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;2;102
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;2;100
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;2;103
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;2;68
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;2;67
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;2;69
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;2;76
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;2;74
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;2;76
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;2;70
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;2;67
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;2;70
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;3;132
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;3;129
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;3;132
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;3;143
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;3;140
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;3;143
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;3;146
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;3;146
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;3;147
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;3;81
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;3;78
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;3;82
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;3;80
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;3;77
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;3;80
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;3;80
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;3;77
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;3;80
Последоватьное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;4;140
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;4;137
Последоватьное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;4;142
Последоватьное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;4;155
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;4;152
Последоватьное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;4;156
Последоватьное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;4;143
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;4;139
Последоватьное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;4;143
Параллельное заполнение;Последоватьное суммирование;Последоватьный подсчет суммы;4;74
Параллельное заполнение;Последоватьное суммирование;Параллельный (с редукторами) подсчет суммы;4;70
Параллельное заполнение;Последоватьное суммирование;Параллельный (с крит. секциями) подсчет суммы;4;73
Параллельное заполнение;Параллельное суммирование с for;Последоватьный подсчет суммы;4;70
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с редукторами) подсчет суммы;4;67
Параллельное заполнение;Параллельное суммирование с for;Параллельный (с крит. секциями) подсчет суммы;4;71
Параллельное заполнение;Параллельное суммирование с sections;Последоватьный подсчет суммы;4;66
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с редукторами) подсчет суммы;4;63
Параллельное заполнение;Параллельное суммирование с sections;Параллельный (с крит. секциями) подсчет суммы;4;67
