Функция;Потоки;НД1 - 1000000;НД2 - 5000000;НД3 - 10000000;НД4 - 15000000;
Последовательная реализация;;14.4242^;72.2897^;143.847^;220.727^;
Параллельная реализация FOR (static);2;7.23033^;36.0383^;73.0968^;109.37^;
3;4.83811^;24.374^;48.5757^;73.0001^;
4;3.68231^;19.5054^;39.0817^;59.0545^;
Параллельная реализация FOR (dynamic);2;7.2534^;36.1374^;72.4126^;107.412^;
3;4.74448^;24.1048^;48.4374^;72.1368^;
4;4.71681^;23.6957^;47.9648^;71.6744^;
Параллельная реализация FOR (guided);2;7.14452^;35.7125^;71.7299^;107.648^;
3;4.83157^;24.001^;47.9381^;71.8017^;
4;3.64355^;18.5584^;37.9687^;56.7445^;
Параллельная реализация Sections;2;14.4819^;71.587^;142.756^;213.933^;
3;14.1361^;70.8232^;141.992^;213.505^;
4;14.3744^;70.4707^;141.152^;211.863^;
Свой алгоритм;2;10.7059^;53.9134^;107.349^;161.137^;
3;9.48208^;47.6619^;95.6891^;143.495^;
4;9.45968^;47.1646^;94.2978^;142.191^;
Функция;Потоки;НД1 - 1000000;НД2 - 5000000;НД3 - 10000000;НД4 - 15000000;
Последовательная реализация;;23.4747^;77.4696^;144.271^;227.367^;
Параллельная реализация FOR (static);2;7.01339^;34.6369^;68.9632^;106.285^;
;3;4.76888^;23.6381^;46.4187^;69.7853^;
;4;3.6701^;17.6865^;34.9267^;52.5163^;
Параллельная реализация FOR (dynamic);2;7.2799^;34.8225^;68.9326^;104.89^;
;3;4.64698^;23.1725^;46.4546^;69.9474^;
;4;4.72295^;24.5571^;53.3961^;79.4493^;
Параллельная реализация FOR (guided);2;7.81689^;39.0158^;71.7968^;106.367^;
;3;4.74367^;23.4652^;46.3894^;69.844^;
;4;3.53819^;17.4522^;34.8314^;53.8616^;
Параллельная реализация Sections;2;16.9865^;80.0663^;150.451^;216.922^;
;3;16.1469^;87.4667^;162.036^;235.644^;
;4;17.8814^;91.0969^;171.879^;236.158^;
Свой алгоритм;2;10.4331^;53.0776^;110.017^;167.629^;
;3;9.63153^;52.5348^;108.889^;168.15^;
;4;11.3847^;58.1336^;111.979^;182.774^;
