Функция сортировки;Потоки;Время;Sp(n);Ep(n);Время;Sp(n);Ep(n);Время;Sp(n);Ep(n);
Тип данных Int;;НД1: 5000;;;НД2: 15000;;;НД3: 35000;;;НД4: 50000;;;
Классический алгоритм пузырька;1;44.2884;1^;1^;387.081;1^;1^;2042.45;1^;1^;4138.49;1^;1^;
Чет-нечетной перестановки (последовательный);1;42.7479;1^;1^;382.891;1^;1^;2063.31;1^;1^;4189.34;1^;1^;
Чет-нечет перестановки (параллельный с for);2;27.0092;1.58271^;0.791356^;219.723;1.74261^;0.871303^;1100.07;1.87561^;0.937806^;2305.55;1.81707^;0.908534^;
;3;32.9548;1.29716^;0.432388^;208.439;1.83694^;0.612315^;1094.42;1.88529^;0.62843^;2183.54;1.9186^;0.639534^;
;4;31.2571;1.36762^;0.341906^;223.065;1.7165^;0.429126^;1108.21;1.86183^;0.465458^;2215.67;1.89078^;0.472695^;
Алгоритм Шелла (последовательный);1;0.651813;1^;1^;2.52171;1^;1^;5.94074;1^;1^;8.79769;1^;1^;
Алгоритм Шелла (параллельный с for);2;0.402384;1.61988^;0.809938^;1.16254;2.16914^;1.08457^;3.18817;1.86337^;0.931686^;4.55727;1.93047^;0.965237^;
;3;0.297695;2.18953^;0.729844^;0.853144;2.95579^;0.985262^;2.45642;2.41846^;0.806152^;3.25169;2.70557^;0.901857^;
;4;0.368305;1.76976^;0.44244^;0.958678;2.6304^;0.657601^;2.67856;2.21789^;0.554472^;3.81187;2.30797^;0.576993^;
Алгоритм быстрой сортировки (последовательный);1;0.465606;1^;1^;1.61438;1^;1^;4.45933;1^;1^;5.57628;1^;1^;
Алгоритм быстрой сортировки (параллельный с sections);2;2.41684;0.19265^;0.0963252^;6.68385;0.241535^;0.120767^;15.4793;0.288084^;0.144042^;23.058;0.241837^;0.120919^;
;3;2.39612;0.194317^;0.0647722^;7.06371;0.228546^;0.0761821^;17.9738;0.248101^;0.0827003^;23.672;0.235564^;0.0785213^;
;4;2.47567;0.188072^;0.0470181^;8.48871;0.19018^;0.047545^;23.0894;0.193133^;0.0482833^;33.8269;0.164847^;0.0412119^;

Тип данных Double;;НД1: 5000;;;НД2: 15000;;;НД3: 35000;;;НД4: 50000;;;
Классический алгоритм пузырька;1;28.4409;1^;1^;222.336;1^;1^;1181.77;1^;1^;2421.01;1^;1^;
Чет-нечетной перестановки (последовательный);1;0.0185895;1^;1^;0.0356579;1^;1^;0.0759789;1^;1^;0.103542;1^;1^;
Чет-нечет перестановки (параллельный с for);2;0.0121842;1.5257^;0.762851^;0.0260105;1.3709^;0.685451^;0.0528947;1.43642^;0.718209^;0.0653947;1.58334^;0.79167^;
;3;0.00881579;2.10866^;0.702886^;0.0144421;2.46902^;0.823008^;0.0301789;2.51761^;0.839205^;0.0436579;2.37167^;0.790557^;
;4;0.00781053;2.38005^;0.595013^;0.0141579;2.51859^;0.629647^;0.0238316;3.18816^;0.797041^;0.0324474;3.19108^;0.79777^;
Алгоритм Шелла (последовательный);1;0.143832;1^;1^;0.486505;1^;1^;1.60298;1^;1^;1.91271;1^;1^;
Алгоритм Шелла (параллельный с for);2;0.0961421;1.49603^;0.748016^;0.286184;1.69997^;0.849986^;0.763289;2.10009^;1.05005^;1.12598;1.69871^;0.849354^;
;3;0.0919053;1.565^;0.521666^;0.192468;2.52771^;0.842572^;0.585137;2.73949^;0.913165^;0.948005;2.01762^;0.672539^;
;4;0.0912895;1.57555^;0.393889^;0.152079;3.19903^;0.799758^;0.729947;2.19602^;0.549005^;1.03885;1.84119^;0.460296^;
Алгоритм быстрой сортировки (последовательный);1;0.113389;1^;1^;0.392921;1^;1^;1.30023;1^;1^;1.37266;1^;1^;
Алгоритм быстрой сортировки (параллельный с sections);2;0.684358;0.165687^;0.0828437^;1.37275;0.286229^;0.143114^;3.25677;0.399238^;0.199619^;3.52392;0.389526^;0.194763^;
;3;0.636347;0.178188^;0.059396^;2.34345;0.167668^;0.0558892^;3.04423;0.427111^;0.14237^;4.30983;0.318495^;0.106165^;
;4;0.936284;0.121106^;0.0302765^;1.73555;0.226395^;0.0565988^;4.75092;0.273679^;0.0684197^;4.88335;0.28109^;0.0702724^;

