Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4;
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n)
Быстрая сортировка (параллельная) [Последовательная медианная фильтрация];1;3;1.05043;1;янв.79;1;1.75083;1;4.82166;1
;;9;7.91581;1;13.3565;1;13.809;1;37.0185;1
;;12;13.6042;1;23.3123;1;24.4911;1;80.5017;1
Быстрая сортировка (параллельная) [Параллельная медианная фильтрация];2;3;1.0281;1.02172;1.58621;1.01998;1.71687;1.01978;4.71786;1.022
;;9;7.76232;1.01977;13.2752;1.00612;13.7491;1.00435;36.8113;1.00563
;;12;13.7202;0.991546;25.3438;0.919844;24.8646;0.984979;67.1277;1.19923
;3;3;1.06404;0.987209;1.65595;0.977023;1.79852;0.973487;5.12817;0.940231
;;9;9.94038;0.796328;16.5954;0.804829;14.8977;0.926919;39.2483;0.943188
;;12;14.2162;0.956953;24.4177;0.95473;25.4925;0.96072;68.7907;1.17024
;4;3;1.02363;1.02618;1.57268;1.02875;1.70784;1.02517;4.69044;1.02798
;;9;7.71024;1.02666;13.2005;1.01182;13.6569;1.01113;36.5716;1.01222
;;12;13.4423;1.01205;23.056;1.01112;24.1089;1.01586;63.6814;1.26413
Сортировка Шелла (параллельная) [Последовательная медианная фильтрация];1;3;0.741679;1;1.28941;1;1.21816;1;3.26761;1
;;9;6.59679;1;13.6223;1;дек.79;1;33.5308;1
;;12;4,75;1;25.6922;1;23.3581;1;62.6849;1
Сортировка Шелла (параллельная) [Параллельная медианная фильтрация];2;3;0.741358;1.00043;1.29416;0.996328;1.21651;1.00136;мар.89;0.999606
;;9;6.59081;1.00091;13.6289;0.999517;дек.73;0.996789;33.566;0.998952
;;12;дек.96;1.00084;25.7132;0.999185;23.3769;0.999193;62.6733;1.00019
;3;3;0.740939;1.001;1.29291;0.997295;1.21576;1.00198;3.26792;0.999905
;;9;6.59112;1.00086;13.6275;0.999624;дек.25;0.99718;33.5232;1.00023
;;12;4.47027;1.00062;25.694;0.999932;23.3662;0.99965;62.6879;0.999953
;4;3;0.742435;0.998981;1.29193;0.998048;янв.57;1.00203;3.26759;1.00001
;;9;14.78655;1.0003;13.6371;0.998913;дек.39;0.996255;33.5497;0.999439
;;12;4.25844;1.00109;25.7273;0.998637;23.3794;0.999088;62.5737;1.00178
