Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Сортировка Шелла (последовательная) [Параллельная медианная фильтрация];2;3;0.956252^;1.76858e-306^;1.78539^;3.86363e-307^;1.70752^;9.90447e-307^;3.76391^;2.51254e-308^;
;;9;7.99492^;0^;13.2464^;0^;13.4129^;0^;35.1841^;0^;
;;12;14.983^;2.15343e-308^;25.3342^;8.78306e-308^;25.8832^;1.71952e-309^;66.6272^;9.60161e-310^;
;3;3;0.650405^;2.60025e-306^;0.92907^;7.42474e-307^;0.959262^;1.76304e-306^;2.53901^;3.72466e-308^;
;;9;5.87042^;0^;10.1057^;0^;9.86722^;0^;27.3411^;0^;
;;12;11.0193^;2.92803e-308^;19.5275^;1.13948e-307^;19.1941^;2.31877e-309^;51.8767^;1.23317e-309^;
;4;3;0.55206^;3.06346e-306^;0.802913^;8.59135e-307^;0.81525^;2.07447e-306^;2.24137^;4.21927e-308^;
;;9;4.94816^;0^;8.45092^;0^;8.42427^;0^;23.41^;0^;
;;12;9.1828^;3.51362e-308^;16.1063^;1.38152e-307^;16.2506^;2.73876e-309^;44.7074^;1.43092e-309^;
