Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Среднеарифметический фильтр (последовательный);1;3;0.0889404^;1^;0.124137^;1^;Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Среднеарифметический фильтр (последовательный);1;3;0.0727325^;1^;0.101756^;1^;0.56847^;1^;0.606016^;1^;
;;9;0.523637^;1^;0.727184^;1^;4.01707^;1^;4.34775^;1^;
;;12;0.896461^;1^;1.22889^;1^;6.83367^;1^;7.5052^;1^;
Среднеарифметический фильтр (параллельный);2;3;0.0418482^;1.73801^;0.0567955^;1.79163^;0.306674^;1.85366^;0.31996^;1.89404^;
;;9;0.28139^;1.86089^;0.396813^;1.83256^;2.18654^;1.83718^;2.35667^;1.84487^;
;;12;0.488026^;1.83691^;0.661423^;1.85795^;3.6778^;1.85809^;3.97075^;1.89012^;
;3;3;0.0348711^;2.08575^;0.0523256^;1.94468^;0.246507^;2.3061^;0.275712^;2.198^;
;;9;0.240321^;2.1789^;0.331396^;2.19431^;1.73529^;2.31493^;1.8593^;2.33838^;
;;12;0.41027^;2.18505^;0.531878^;2.31048^;2.89128^;2.36354^;2.98^;2.51853^;
;4;3;0.0336115^;2.16392^;0.0421389^;2.41478^;0.221331^;2.56842^;0.213588^;2.83732^;
;;9;0.201699^;2.59613^;0.268025^;2.71312^;1.36212^;2.94913^;1.48052^;2.93665^;
;;12;0.319063^;2.80966^;0.443365^;2.77174^;2.31128^;2.95666^;2.50625^;2.99459^;
Фильтр Гаусса (последовательный);1;3;0.109021^;1^;0.14988^;1^;0.826745^;1^;0.891189^;1^;
;;9;0.764216^;1^;1.04344^;1^;5.79774^;1^;6.27204^;1^;
;;12;1.30489^;1^;1.80269^;1^;10.0468^;1^;10.7972^;1^;
Фильтр Гаусса (параллельный);2;3;0.0624399^;1.74601^;0.0810707^;1.84875^;0.459335^;1.79987^;0.490208^;1.81798^;
;;9;0.42979^;1.77812^;0.608576^;1.71456^;3.29182^;1.76126^;3.5524^;1.76557^;
;;12;0.728881^;1.79026^;1.00767^;1.78897^;5.5897^;1.79737^;6.03094^;1.7903^;
;3;3;0.0529639^;2.0584^;0.0626816^;2.39113^;0.350904^;2.35604^;0.402454^;2.21439^;
;;9;0.342299^;2.2326^;0.46794^;2.22986^;2.5384^;2.28401^;2.74939^;2.28124^;
;;12;0.578902^;2.25407^;0.809259^;2.22758^;4.38545^;2.29094^;4.79822^;2.25025^;
;4;3;0.057657^;1.89085^;0.0755954^;1.98266^;0.356437^;2.31947^;0.365556^;2.4379^;
;;9;0.352833^;2.16594^;0.467706^;2.23098^;2.29327^;2.52816^;2.45816^;2.55151^;
;;12;0.575046^;2.26919^;0.715358^;2.51998^;3.78134^;2.65694^;4.1019^;2.63225^;
