Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Среднеарифметический фильтр (параллельный);2;3;0.0470366^;0^;0.0615742^;0^;0.337337^;0^;0.364153^;0^;
;;9;0.296343^;5.70695e-306^;0.411964^;1.67444e-306^;2.27798^;7.42418e-307^;2.45741^;3.84834e-308^;
;;12;0.509557^;0^;0.705739^;0^;3.90594^;0^;4.22383^;0^;
;3;3;0.0302488^;0^;0.0415852^;0^;0.228826^;0^;0.247446^;0^;
;;9;0.202416^;8.35515e-306^;0.278594^;2.47604e-306^;1.54602^;1.09391e-306^;1.66465^;5.68106e-308^;
;;12;0.345762^;0^;0.479288^;0^;2.64623^;0^;2.85686^;0^;
;4;3;0.0256755^;0^;0.0344382^;0^;0.177602^;0^;0.193277^;0^;
;;9;0.167159^;1.01174e-305^;0.229858^;3.00103e-306^;1.23137^;1.37344e-306^;1.32317^;7.1472e-308^;
;;12;0.276948^;0^;0.386682^;0^;2.09788^;0^;2.28021^;0^;
Фильтр Гаусса (параллельный);2;3;0.0717272^;0^;0.0974981^;0^;0.540092^;0^;0.581177^;0^;
;;9;0.509245^;3.32102e-306^;0.703216^;9.80936e-307^;3.89849^;4.33812e-307^;4.20958^;2.24653e-308^;
;;12;0.86419^;0^;1.19573^;0^;6.6221^;0^;7.15214^;0^;
;3;3;0.0487319^;0^;0.0666127^;0^;0.366397^;0^;0.394151^;0^;
;;9;0.344817^;4.90466e-306^;0.475183^;1.45167e-306^;2.62468^;6.44349e-307^;2.83487^;3.33594e-308^;
;;12;0.585374^;0^;0.807949^;0^;4.45696^;0^;4.81351^;0^;
;4;3;0.040556^;0^;0.0582007^;0^;0.291457^;0^;0.315231^;0^;
;;9;0.267988^;6.31078e-306^;0.373276^;1.84799e-306^;2.04387^;8.27455e-307^;2.21055^;4.27809e-308^;
;;12;0.462825^;0^;0.637079^;0^;3.47244^;0^;3.74916^;0^;
