Int;;;;;;;;;;Double;;;;;;;
Функция сортировки;Потоки;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n)
;;НД1: 3000;;НД2: 4500;;НД3: 6000;;НД4: 8000;;НД1: 3000;;НД2: 4500;;НД3: 6000;;НД4: 8000;
Суммирование матриц (последовательно);1;8,15447;1;17,8291;1;31,9898;1;54,9632;1;16,2962;1;34,4532;1;60,7398;1;109,405;1
Суммирование матриц (Open MP);2;6,96107;1,17144;17,03;1,04692;27,7604;1,15235;50,1739;1,09545;14,0685;1,15835;32,0728;1,07422;56,2593;1,07964;100,797;1,0854
;3;6,85996;1,18871;16,1083;1,10683;26,8051;1,19342;47,9312;1,14671;13,8271;1,17857;30,4856;1,13015;54,1359;1,12199;96,5177;1,13352
;4;6,92695;1,17721;15,1948;1,17337;26,3486;1,2141;48,1143;1,14235;13,2468;1,2302;29,5476;1,16602;51,9695;1,16876;93,2691;1,17301
Суммирование матриц (TBB);2;11,6543;0,699698;24,3599;0,731906;38,8966;0,822433;66,5482;0,825916;18,4097;0,885198;41,6798;0,826617;71,7028;0,847104;118,593;0,922524
;3;8,84755;0,921664;19,6268;0,908406;34,1686;0,936236;59,4944;0,923838;17,5378;0,929208;38,2102;0,901676;66,836;0,908788;111,827;0,978346
;4;8,01121;1,01788;17,6736;1,0088;31,4858;1,01601;55,912;0,983031;15,615;1,04363;36,3278;0,948399;64,5912;0,940373;111,121;0,984563
Перемножение матриц (последовательно);1;10,8362;1;20,0722;1;33,7988;1;58,1818;1;15,3643;1;33,7633;1;59,3943;1;106,221;1
Перемножение матриц (Open MP);2;8,19135;1,32288;15,7515;1,27431;27,8025;1,21567;49,514;1,17506;14,0051;1,09705;30,7453;1,09816;54,4768;1,09027;97,5706;1,08865
;3;7,42178;1,46006;16,2836;1,23267;26,8473;1,25893;47,3634;1,22841;14,0028;1,09723;29,7061;1,13658;52,7234;1,12653;93,6483;1,13425
;4;6,85378;1,58106;14,801;1,35614;26,62;1,26968;47,1337;1,2344;13,2698;1,15784;30,0736;1,12269;53,0299;1,12001;93,8703;1,13157
Перемножение матриц (TBB);2;13,6803;0,792104;24,7297;0,811664;42,5667;0,79402;74,7912;0,777924;18,7852;0,817895;41,5691;0,812222;72,0667;0,824157;119,284;0,890484
;3;10,1822;1,06423;22,3719;0,897208;38,6493;0,874501;66,9056;0,869611;17,0631;0,900439;38,3195;0,881102;67,0268;0,886128;112,985;0,940128
;4;9,48212;1,1428;20,6957;0,969876;37,0199;0,912991;64,3913;0,903567;15,5315;0,989237;36,3477;0,928898;64,7222;0,91768;109,048;0,974075
Вычисление суммы элементов 2 матриц (последовательно);1;136,794;1;300,419;1;576,043;1;1145,67;1;149,089;1;366,236;1;699,801;1;1369,21;1
Вычисление суммы элементов 2 матриц (Open MP);2;87,1867;1,56898;201,708;1,48938;372,632;1,54587;710,416;1,61268;97,4491;1,52992;235,35;1,55614;436,573;1,60294;817,558;1,67476
;3;55,2612;2,47542;141,174;2,12801;267,923;2,15003;515,499;2,22246;60,8951;2,44829;169,514;2,1605;308,634;2,26742;589,735;2,32174
;4;47,645;2,87112;112,667;2,66644;219,761;2,62122;444,96;2,57478;43,4069;3,43469;135,89;2,69509;261,861;2,67241;514,889;2,65924
Вычисление суммы элементов 2 матриц (TBB);2;23,8813;5,7281;36,5131;8,22771;51,2927;11,2305;71,7472;15,9682;26,4306;5,64078;42,9605;8,52496;61,2664;11,4223;91,2538;15,0044
;3;21,6647;6,31415;33,0874;9,07958;46,6279;12,354;65,7067;17,4362;23,9035;6,23712;39,3474;9,30776;56,6331;12,3567;85,5577;16,0034
;4;21,1246;6,47559;32,6066;9,21345;46,0104;12,5198;65,1062;17,597;24,1515;6,17308;37,5903;9,74284;55,0151;12,7202;83,1815;16,4605
Поиск максимального элемента в 2 матрицах (последовательно);1;8,95044;1;16,569;1;26,8888;1;44,8854;1;8,32157;1;14,7296;1;24,4402;1;41,923;1
Поиск максимального элемента в 2 матрицах (Open MP);2;8,9207;1,00333;24,7003;0,670802;40,2689;0,667732;68,4072;0,656151;10,0892;0,8248;17,9716;0,819605;29,4548;0,829752;49,485;0,847186
;3;7,58004;1,18079;18,4901;0,8961;29,4536;0,912922;49,0193;0,915668;8,37351;0,993798;15,0788;0,976847;24,0387;1,0167;38,9721;1,07572
;4;7,40163;1,20925;16,6926;0,992596;27,5186;0,977112;41,9848;1,06909;8,29626;1,00305;15,9215;0,925143;24,8401;0,983899;39,4792;1,0619
Поиск максимального элемента в 2 матрицах (TBB);2;24,0029;0,37289;40,6279;0,407822;57,7289;0,465777;85,2119;0,526751;25,5827;0,325282;43,1394;0,341443;63,3632;0,385716;94,5289;0,443494
;3;22,6073;0,395909;36,9359;0,448588;53,2334;0,505111;77,7465;0,577331;23,7687;0,350107;39,6867;0,371148;58,9402;0,41466;88,9149;0,471496
;4;22,2227;0,402761;35,4629;0,46722;51,1561;0,525623;73,6316;0,609595;23,2278;0,358259;38,4349;0,383236;56,7159;0,430922;85,8806;0,488155
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Int;;;;;;;;;;Double;
Функция сортировки;Потоки;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
;;НД1: 3000;;НД2: 4500;;НД3: 6000;;НД4: 8000;;НД1: 3000;;НД2: 4500;;НД3: 6000;;НД4: 8000;;
Суммирование матриц (последовательно);1;8,0097;1;17,5783;1;30,4893;1;52,9593;1;15,5983;1;33,5974;1;59,5602;1;104,493;1;
тотал элемент;2;6,41982;1,24765;11,5581;1,52087;19,955;1,52791;33,6997;1,57151;14,7441;1,05793;31,7013;1,05981;55,0341;1,08224;95,5352;1,09377;
;3;4,74924;1,68652;10,1131;1,73817;15,9683;1,90937;27,4879;1,92664;10,5278;1,48163;21,7914;1,54177;37,6617;1,58145;65,8217;1,58752;
