Int;;;;;;;;;;Double;
Функция сортировки;Потоки;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
;;НД1: 3000;;НД2: 4500;;НД3: 6000;;НД4: 8000;;НД1: 3000;;НД2: 4500;;НД3: 6000;;НД4: 8000;;
Суммирование матриц (последовательно);1;8,57538;1;18,4027;1;33,7291;1;58,6948;1;18,0932;1;36,8987;1;64,9688;1;117,727;1;
Суммирование матриц (Open MP);2;7,87204;1,08935;17,3461;1,06091;30,2269;1,11586;54,3912;1,07912;15,3112;1,1817;33,7596;1,09298;59,7312;1,08769;105,941;1,11125;
;3;7,72698;1,1098;17,1639;1,07217;29,1104;1,15866;50,9143;1,15282;14,7724;1,2248;32,4769;1,13615;58,2275;1,11578;100,907;1,16669;
;4;7,19128;1,19247;15,8123;1,16382;28,3266;1,19072;49,3251;1,18996;14,4059;1,25596;31,1244;1,18552;55,7096;1,1662;97,5925;1,20631;
Суммирование матриц (TBB);2;11,8712;0,722366;23,8664;0,771071;41,8306;0,806326;71,2367;0,82394;20,8548;0,867579;44,8973;0,821848;76,2086;0,852513;128,052;0,919369;
;3;9,49044;0,903581;21,2283;0,866893;36,9728;0,912268;63,9574;0,917717;18,0043;1,00494;41,3395;0,892578;71,6534;0,906709;120,403;0,977775;
;4;8,55137;1,00281;18,9737;0,969907;32,997;1,02219;58,3844;1,00532;16,3777;1,10475;37,8627;0,97454;67,5741;0,961444;112,819;1,0435;
Перемножение матриц (последовательно);1;9,76997;1;20,1312;1;35,2567;1;60,7679;1;17,6078;1;36,7912;1;63,9983;1;114,089;1;
Перемножение матриц (Open MP);2;7,8354;1,2469;17,7782;1,13236;30,2517;1,16544;53,4251;1,13744;15,7365;1,11892;33,5286;1,09731;59,2574;1,08;104,594;1,09078;
;3;7,53692;1,29628;16,7613;1,20105;29,5677;1,1924;51,4013;1,18223;14,6275;1,20375;32,4003;1,13552;57,1953;1,11894;100,764;1,13224;
;4;8,10829;1,20494;16,8058;1,19788;29,6898;1,1875;49,8207;1,21973;14,1329;1,24587;31,2274;1,17817;55,9626;1,14359;97,588;1,16909;
Перемножение матриц (TBB);2;14,1683;0,689563;27,5077;0,731841;45,2973;0,77834;76,0754;0,798786;20,4836;0,859608;44,836;0,820573;75,8443;0,843811;127,127;0,897448;
;3;10,8708;0,898738;23,7881;0,846273;41,7953;0,843557;71,6428;0,848207;18,0207;0,977088;41,1895;0,893219;71,6441;0,89328;119,458;0,955058;
;4;9,81859;0,995048;21,6483;0,929921;38,0004;0,927798;65,8097;0,923389;16,4518;1,07027;37,6913;0,976119;67,052;0,954457;112,405;1,01499;
Вычисление суммы элементов 2 матриц (последовательно);1;134,967;1;300,629;1;574,966;1;1151,29;1;148,7;1;363,114;1;689,569;1;1345,1;1;
Вычисление суммы элементов 2 матриц (Open MP);2;82,6011;1,63396;197,795;1,5199;369,666;1,55536;706,515;1,62954;97,3471;1,52752;232,739;1,56018;430,33;1,60242;808,742;1,6632;
;3;57,2548;2,3573;147,62;2,0365;276,195;2,08174;536,06;2,14769;64,2674;2,31377;174,257;2,08379;328,814;2,09714;623,157;2,15853;
;4;186,019;0,725552;356,268;0,843828;581,733;0,988366;981,734;1,17271;194,771;0,763461;388,366;0,934979;641,447;1,07502;1083,86;1,24103;
Вычисление суммы элементов 2 матриц (TBB);2;23,802;5,6704;36,5344;8,22866;50,8797;11,3005;71,2179;16,1658;26,3898;5,63476;42,5624;8,53135;61,1664;11,2737;91,1667;14,7543;
;3;22,3723;6,03276;34,1483;8,80365;47,5449;12,0931;66,4792;17,3181;24,6368;6,03568;39,9461;9,09011;57,6714;11,9569;87,0187;15,4576;
;4;22,0786;6,11301;33,5817;8,95217;46,7524;12,2981;65,5091;17,5746;24,4178;6,08982;39,2446;9,25259;56,7726;12,1462;84,8909;15,8451;
Поиск максимального элемента в 2 матрицах (последовательно);1;8,383;1;16,315;1;27,0415;1;45,4547;1;8,3835;1;14,849;1;25,0205;1;42,7;1;
Поиск максимального элемента в 2 матрицах (Open MP);2;8,51698;0,98427;24,1058;0,676808;40,0683;0,674885;68,1947;0,666544;9,51811;0,880795;17,9552;0,827004;29,3757;0,851741;48,1359;0,887073;
;3;7,67488;1,09226;18,016;0,905584;29,2755;0,92369;48,2203;0,942647;8,50985;0,985152;15,127;0,981626;24,5682;1,01841;40,013;1,06715;
;4;7,63054;1,09861;17,0833;0,955024;26,3346;1,02684;41,4768;1,09591;8,5191;0,984082;15,6989;0,945868;25,5573;0,978995;40,8748;1,04465;
Поиск максимального элемента в 2 матрицах (TBB);2;23,8627;0,351302;40,1921;0,405925;57,2243;0,472553;84,4197;0,538438;25,2242;0,33236;42,6859;0,347867;62,4113;0,400896;92,6266;0,460991;
;3;22,5768;0,371311;37,1438;0,439238;52,9696;0,510509;76,8544;0,591439;23,1526;0,362098;39,131;0,37947;58,196;0,429934;87,486;0,488078;
;4;21,923;0,382383;35,8072;0,455634;49,7645;0,543389;73,1915;0,621039;22,6222;0,370587;37,6612;0,39428;55,9443;0,447238;84,4001;0,505924;

