Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Медианный фильтр (последовательный);1;7;3.77539^;1^;
;;19;36.6385^;1^;
;;25;67.5557^;1^;
Медианный фильтр (Open MP);2;7;2.26266^;1.66856^;
;;19;21.5518^;1.70002^;
;;25;Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Медианный фильтр (последовательный);1;7;3.64499^;1^;
Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Медианный фильтр (последовательный);1;7;3.431^;1^;
;;19;Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Медианный фильтр (последовательный);1;7;3.34529^;1^;
;;13;14.6758^;1^;
;;19;35.3792^;1^;
Медианный фильтр (Open MP);2;7;2.25051^;1.48646^;
;;13;9.07192^;1.61772^;
;;19;21.4884^;1.64643^;
;3;7;1.51982^;2.20111^;
;;13;6.11285^;2.40081^;
;;19;14.4776^;2.44372^;
;4;7;1.17347^;2.85077^;
;;13;4.76572^;3.07945^;
;;19;11.3272^;3.12338^;
Медианный фильтр (TBB);2;7;3.16275^;1.05772^;
;;13;9.98457^;1.46985^;
;;19;21.0502^;1.68071^;
;3;7;2.13857^;1.56427^;
;;13;6.74568^;2.17559^;
;;19;14.1496^;2.50037^;
;4;7;1.6659^;2.00809^;
;;13;5.22175^;2.81051^;
;;19;11.0414^;3.20424^;
Фильтр Гаусса (последовательный);1;7;0.112043^;1^;
;;13;0.358974^;1^;
;;19;0.738876^;1^;
Фильтр Гаусса (Open MP);2;7;0.056284^;1.99068^;
;;13;0.181533^;1.97746^;
;;19;0.372371^;1.98425^;
;3;7;0.0376804^;2.97352^;
;;13;0.123763^;2.90049^;
;;19;0.252028^;2.93172^;
;4;7;0.0297371^;3.76779^;
;;13;0.102265^;3.51023^;
;;19;0.20299^;3.63997^;
Фильтр Гаусса(TBB);2;7;0.059496^;1.88321^;
;;13;0.195645^;1.83483^;
;;19;0.376639^;1.96176^;
;3;7;0.0381401^;2.93768^;
;;13;0.124365^;2.88645^;
;;19;0.255031^;2.89721^;
;4;7;0.0289421^;3.87129^;
;;13;0.101896^;3.52296^;
;;19;0.205961^;3.58745^;
