Название функции;Кол-во потоков;Окрестность;НД1;;НД2;
;;;Время;Sp;Время;Sp
Вычисление текстурных признаков (последовательно);1;5x5;1,61712;1;3,48158;1
;;7x7;1,92324;1;3,98956;1
;;9x9;2,30242;1;4,62085;1
Вычисление текстурных признаков (Open MP);2;5x5;0,856469;1,88812;1,82065;1,91227
;;7x7;1,00515;1,91338;2,07154;1,92589
;;9x9;1,18075;1,94997;2,48833;1,857
;3;5x5;0,636013;2,54258;1,32674;2,62417
;;7x7;0,726271;2,6481;1,56072;2,55623
;;9x9;0,88652;2,59715;1,80603;2,55856
;4;5x5;0,565481;2,85972;1,21171;2,87327
;;7x7;0,689037;2,7912;1,51589;2,63182
;;9x9;0,835726;2,755;1,67097;2,76537
Вычисление текстурных признаков (TBB);2;5x5;0,860921;1,87835;1,83816;1,89406
;;7x7;1,02637;1,87383;2,13241;1,87092
;;9x9;1,19602;1,92508;2,45429;1,88276
;3;5x5;0,6136;2,63546;1,28045;2,71903
;;7x7;0,697304;2,75811;1,50955;2,64288
;;9x9;0,835742;2,75495;1,73065;2,67
;4;5x5;0,550422;2,93796;1,14856;3,03125
;;7x7;0,642296;2,99432;1,35633;2,94143
;;9x9;0,783325;2,9393;1,55288;2,97567
